Name,Postal Code,Area size,Population size,Population density,Senior Population,Young Population,Male Population,White Population,Africa-American Population,Hispanic population,Internet access,High school degree,Bachelor degrees,Median household income,Poverty rate,Uninsured,Household size,House Owner,hospital,hospital bed,ICU bed,ventilator usage,Nurses,Medical Doctors,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,deaths_per_population,recovered_per_population,confirmed_per_population,active_per_population,unemp_year_rate
Georgia,GA,153910,10617423,68.98462088,14.3,19.5,48.7,59.9,33.5,9.8,85.2,12.1,19.9,61980,13.3,13.4,2.77,64.1,179,28621,3132,735,132922,107973,666452,10934,0.0,655518.0,6276.965700622459,5349390.0,1.6406282823069027,50383.129691639864,0.0010298167455511569,0.0,0.06276965700622458,0.061739840260673425,6.32
Hawaii,HI,28313,1415872,50.00784092,19.0,17.8,50.0,41.1,3.5,10.7,88.2,7.6,22.1,83102,9.3,4.2,3.1,60.2,29,3422,219,57,24652,21331,21745,288,11958.0,9499.0,1535.8026714279254,812338.0,1.3244424005518507,57373.689147041536,0.00020340821769199475,0.008445678705419698,0.015358026714279258,0.0067089397911675635,11.99
Idaho,ID,216443,1787065,8.256515572,16.2,20.7,50.3,92.5,1.2,12.8,88.8,8.5,18.8,60999,11.2,10.8,2.76,71.6,53,3923,440,92,22912,20639,141077,1436,57770.0,81871.0,7894.34072067888,543268.0,1.0178838506631132,30400.01342984167,0.0008035521931211232,0.03232674804777666,0.07894340720678879,0.045813106965891,5.4
Illinois,IL,149995,12671821,84.48162272,16.1,18.3,49.1,73.8,15.4,17.5,86.2,10.2,21.7,69187,11.5,7.4,2.7,66.0,214,37883,3743,929,207001,170660,963389,17978,0.0,945411.0,7602.6089699341555,13277443.0,1.8661205390553561,104779.28152552027,0.0014187384749200609,0.0,0.07602608969934155,0.0746073512244215,9.41
Indiana,IN,94326,6732219,71.37182749,16.1,19.3,49.3,85.2,11.0,7.2,84.2,10.4,17.3,57603,11.9,8.7,2.63,69.3,174,17748,2125,643,116264,72725,511485,9390,341451.0,160644.0,7597.569241285822,5681710.0,1.615492145419709,84395.79877006378,0.001394785285505418,0.0507189382876582,0.07597569241285823,0.02386196883969461,7.13
Iowa,IA,145746,3155070,21.64772961,17.5,19.0,49.8,91.9,5.2,6.3,84.4,7.4,19.8,61691,11.2,5.0,2.48,70.5,124,11754,819,252,55355,34272,281712,3891,238982.0,38839.0,8928.866871416481,1171219.0,1.3811978190492418,37121.80712313832,0.0012332531449381471,0.0757453875825259,0.08928866871416483,0.01231002798670077,5.58
Kansas,KS,213100,2913314,13.67111215,16.4,20.1,49.6,87.1,7.4,12.2,85.4,8.2,21.6,62087,11.4,9.2,2.63,66.5,154,12354,1300,218,58781,36022,225212,2736,4289.0,218187.0,7738.26645531515,1001232.0,1.2136266855926188,34367.45918908844,0.0009391366670396668,0.0014722065661305305,0.07730440316423152,0.07489305993106132,6.02
Kentucky,KY,104656,4467673,42.68912437,16.9,18.5,49.2,88.9,9.5,3.8,83.4,12.8,14.9,52295,16.3,6.4,2.56,67.0,115,16654,1788,495,71603,57030,265261,2623,36740.0,225898.0,5937.341430315066,3148606.0,0.9888374091932096,70475.30112432133,0.0005871065317448256,0.008223520387458974,0.05937341430315066,0.05056278738394686,6.85
Louisiana,LA,135659,4648794,34.26823137,16.0,19.5,48.8,63.5,33.4,5.4,80.7,14.0,16.0,51073,19.0,8.9,2.67,66.5,215,21055,2212,463,69699,63967,315275,7488,263712.0,44075.0,6781.866436757577,4214182.0,2.375069383871224,90651.08068888405,0.0016107403339446747,0.056726970478795144,0.06781866436757576,0.009480953554835943,8.85
Maine,ME,91633,1344212,14.66951862,21.3,14.9,48.8,95.9,2.4,1.7,85.4,6.8,20.8,58924,10.9,8.0,2.38,72.2,39,3886,279,118,25807,24738,24201,347,11374.0,12480.0,1800.3856534534732,1111413.0,1.4338250485517128,82681.37763983657,0.0002581438046974733,0.00846146292400306,0.01800385653453473,0.0092842498058342,6.17
Maryland,MD,32131,6045680,188.1572313,15.9,18.3,48.4,57.3,32.2,10.6,89.2,9.6,21.8,86738,9.0,6.0,2.74,66.8,64,13249,1311,483,82686,89933,276662,5895,9355.0,261412.0,4576.19324873298,5708030.0,2.130758832076685,94415.02031202446,0.0009750764182027497,0.0015473859019994442,0.04576193248732979,0.0432394701671276,6.79
Massachusetts,MA,27336,6892503,252.1401449,17.0,16.1,48.5,80.2,9.9,12.4,89.1,8.7,24.7,85843,9.4,3.0,2.68,62.2,105,20056,1986,492,138481,155292,375178,12423,261672.0,101083.0,5443.276557152025,10944699.0,3.3112282703143574,158791.3563476142,0.0018023931219181188,0.03796472776290413,0.05443276557152024,0.014665644686697996,9.82
